date,amount,description,category,type,payment_method,installments,monthly_payment
2024-01-22,1.0,University tuition payment,Education,expense,cash,0,0.0
2023-04-04,1.0,Gas bill,Utilities,expense,debit_card,0,0.0
2023-11-19,4.95,Aldi grocery,Food,expense,credit_card,1,4.95
2023-08-17,86.88,University tuition payment,Education,expense,debit_card,0,0.0
2024-09-23,35.26,Subway sandwich,Food,expense,debit_card,0,0.0
2023-08-26,58.96,Spotify Premium,Entertainment,expense,debit_card,0,0.0
2023-03-16,7.87,UberEats order,Food,expense,debit_card,0,0.0
2023-07-06,1.0,H&M hoodie,Shopping,expense,debit_card,0,0.0
2023-04-10,33.93,DoorDash order,Food,expense,credit_card,1,33.93
2024-01-17,88.05,Engineering textbook,Education,expense,debit_card,0,0.0
2024-10-30,37.58,Vehicle inspection fee,Transportation,expense,debit_card,0,0.0
2024-07-24,30.83,Oma coffee,Food,expense,debit_card,0,0.0
2023-08-01,22.22,Car wash service,Transportation,expense,debit_card,0,0.0
2024-01-09,1.56,Motorbike maintenance,Transportation,expense,debit_card,0,0.0
2024-01-14,1.0,BestBuy electronics,Shopping,expense,debit_card,0,0.0
2023-12-02,49.79,El Corral burger,Food,expense,credit_card,12,4.15
2023-10-13,120.73,Engineering textbook,Education,expense,credit_card,9,13.41
2023-04-18,76.99,Gym membership,Health,expense,credit_card,1,76.99
2024-07-13,17.24,Oma coffee,Food,expense,credit_card,24,0.72
2023-11-12,1.0,Steam game purchase,Entertainment,expense,credit_card,9,0.11
2024-12-30,1.0,Nike sneakers,Shopping,expense,debit_card,0,0.0
2023-02-21,1.0,Walmart groceries,Shopping,expense,debit_card,0,0.0
2024-12-20,13.14,Office lunch,Food,expense,debit_card,0,0.0
2023-12-09,1.0,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2024-09-04,1.0,Walmart groceries,Shopping,expense,debit_card,0,0.0
2023-11-25,6.36,McDonalds combo,Food,expense,credit_card,3,2.12
2024-04-13,109.29,Home internet service,Utilities,expense,credit_card,24,4.55
2023-03-02,1.0,Corporate reimbursement,Income,income,credit_card,24,0.04
2024-06-07,18.9,Metro card reload,Transportation,expense,credit_card,3,6.3
2023-01-07,1.0,Payroll deposit,Income,income,debit_card,0,0.0
2023-01-13,1.0,Dominos pizza,Food,expense,cash,0,0.0
2024-01-14,228.68,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2024-08-09,1.0,Mobile phone plan,Utilities,expense,credit_card,9,0.11
2023-12-08,4.13,Toll payment,Transportation,expense,debit_card,0,0.0
2023-09-15,49.46,Car wash service,Transportation,expense,debit_card,0,0.0
2023-04-13,12.63,Parking garage fee,Transportation,expense,credit_card,2,6.32
2023-09-10,130.74,Duolingo Plus subscription,Education,expense,credit_card,12,10.9
2023-12-03,1.0,Motorbike maintenance,Transportation,expense,cash,0,0.0
2023-12-25,1.0,BestBuy electronics,Shopping,expense,cash,0,0.0
2024-05-21,81.33,Walmart groceries,Shopping,expense,debit_card,0,0.0
2024-12-09,27.08,Bus card recharge,Transportation,expense,debit_card,0,0.0
2024-06-05,7356.1,Payroll deposit,Income,income,debit_card,0,0.0
2023-04-02,1.0,DollarStore purchase,Shopping,expense,cash,0,0.0
2024-08-27,1.0,Electricity bill,Utilities,expense,credit_card,2,0.5
2024-10-24,21.78,Starbucks latte,Food,expense,debit_card,0,0.0
2024-12-18,2.6,Vitamin supplements,Health,expense,debit_card,0,0.0
2023-04-29,18.6,Concert ticket,Entertainment,expense,debit_card,0,0.0
2024-02-16,20.06,Juan Valdez coffee,Food,expense,cash,0,0.0
2024-09-20,1.0,Uber airport trip,Transportation,expense,cash,0,0.0
2023-03-27,1.0,Parking garage fee,Transportation,expense,cash,0,0.0
2024-01-19,105.07,Adidas running shoes,Shopping,expense,debit_card,0,0.0
2024-06-28,66.57,Aldi grocery,Food,expense,debit_card,0,0.0
2024-09-12,30.09,Grocery store purchase,Food,expense,cash,0,0.0
2023-08-07,1.0,Target shopping,Shopping,expense,credit_card,18,0.06
2023-07-23,11874.34,Freelance project,Income,income,debit_card,0,0.0
2024-09-20,31.81,Pharmacy medicine,Health,expense,debit_card,0,0.0
2024-02-23,18.59,Bus card recharge,Transportation,expense,cash,0,0.0
2023-10-23,4.6,Fuel tank refill,Transportation,expense,credit_card,24,0.19
2023-06-15,1610.81,Upwork payment,Income,income,credit_card,9,178.98
2024-06-15,100.06,Gas bill,Utilities,expense,debit_card,0,0.0
2024-01-02,1.0,Andres DC food,Food,expense,credit_card,24,0.04
2024-11-23,25.45,Car wash service,Transportation,expense,debit_card,0,0.0
2023-05-20,1.0,InDriver ride,Transportation,expense,debit_card,0,0.0
2024-10-06,7738.64,Marketplace item sale,Income,income,credit_card,2,3869.32
2024-05-03,1301.15,Freelance project,Income,income,debit_card,0,0.0
2024-03-17,39.55,Parking garage fee,Transportation,expense,credit_card,18,2.2
2024-04-17,176.4,Duolingo Plus subscription,Education,expense,credit_card,12,14.7
2023-11-05,13.62,D1 grocery,Food,expense,credit_card,2,6.81
2023-10-19,14.59,Gas station refill,Transportation,expense,debit_card,0,0.0
2023-05-13,169.3,DollarStore purchase,Shopping,expense,credit_card,36,4.7
2024-11-19,114.51,Amazon package,Shopping,expense,debit_card,0,0.0
2024-11-28,1.0,Vitamin supplements,Health,expense,debit_card,0,0.0
2023-03-07,40.61,Office lunch,Food,expense,credit_card,3,13.54
2023-08-29,1.0,Drugstore purchase,Health,expense,cash,0,0.0
2024-06-28,28.58,KFC bucket,Food,expense,debit_card,0,0.0
2023-08-07,1.0,Uber downtown ride,Transportation,expense,credit_card,1,1.0
2024-04-14,1.0,Concert ticket,Entertainment,expense,debit_card,0,0.0
2024-01-16,1.0,Gas bill,Utilities,expense,debit_card,0,0.0
2023-10-21,49.32,Amazon package,Shopping,expense,debit_card,0,0.0
2023-06-30,19.22,Netflix subscription,Entertainment,expense,debit_card,0,0.0
2024-04-24,7.98,Uber airport trip,Transportation,expense,debit_card,0,0.0
2024-12-02,16.6,UberEats order,Food,expense,cash,0,0.0
2024-01-10,1.0,UberEats order,Food,expense,debit_card,0,0.0
2024-11-13,74.7,Amazon Prime Video,Entertainment,expense,credit_card,36,2.08
2024-09-11,93.21,Payroll deposit,Income,income,credit_card,24,3.88
2024-01-16,1.0,Spotify Premium,Entertainment,expense,debit_card,0,0.0
2024-03-03,80.25,Dentist appointment,Health,expense,debit_card,0,0.0
2024-12-08,84.05,Duolingo Plus subscription,Education,expense,credit_card,2,42.02
2023-09-18,1.0,Vehicle inspection fee,Transportation,expense,credit_card,9,0.11
2023-08-17,5245.17,Payroll deposit,Income,income,credit_card,1,5245.17
2024-07-08,1.0,Bonus payment,Income,income,debit_card,0,0.0
2023-07-09,45.39,Vitamin supplements,Health,expense,debit_card,0,0.0
2023-10-11,1.0,SmartFit membership,Health,expense,debit_card,0,0.0
2024-06-24,262.95,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2023-08-17,1.0,Uber airport trip,Transportation,expense,debit_card,0,0.0
2023-04-24,13.87,Metro card reload,Transportation,expense,debit_card,0,0.0
2024-05-14,1.0,Google Play purchase,Entertainment,expense,debit_card,0,0.0
2023-01-28,17.14,KFC bucket,Food,expense,debit_card,0,0.0
2023-10-20,163.12,Nike sneakers,Shopping,expense,debit_card,0,0.0
2024-06-29,1.0,Zara pants,Shopping,expense,debit_card,0,0.0
2024-01-14,41.35,Annual domain payment,Utilities,expense,debit_card,0,0.0
2023-06-07,61.04,Skin care cream,Health,expense,debit_card,0,0.0
2023-10-29,53.66,Burger King deal,Food,expense,cash,0,0.0
2023-03-31,29.84,McDonalds combo,Food,expense,credit_card,9,3.32
2024-12-17,2.42,Subway sandwich,Food,expense,credit_card,36,0.07
2024-06-05,1.0,Cable TV package,Utilities,expense,debit_card,0,0.0
2024-07-14,1.0,Lab tests,Health,expense,debit_card,0,0.0
2023-09-22,1.0,Home Depot tools,Shopping,expense,credit_card,2,0.5
2024-04-17,47.29,Office lunch,Food,expense,credit_card,24,1.97
2025-01-01,18.7,InDriver ride,Transportation,expense,credit_card,24,0.78
2023-10-29,44.37,Netflix subscription,Entertainment,expense,credit_card,1,44.37
2023-06-09,16.89,Panamericana supplies,Shopping,expense,debit_card,0,0.0
2024-01-22,1.0,Corporate reimbursement,Income,income,debit_card,0,0.0
2023-03-27,209.43,Fiber internet service,Utilities,expense,cash,0,0.0
2023-07-07,1.0,Burger King deal,Food,expense,debit_card,0,0.0
2024-09-06,1.0,University tuition payment,Education,expense,credit_card,2,0.5
2024-05-23,409.03,Corporate reimbursement,Income,income,debit_card,0,0.0
2023-04-03,132.72,BestBuy electronics,Shopping,expense,debit_card,0,0.0
2024-05-30,8.88,Chicken takeout,Food,expense,cash,0,0.0
2023-08-31,1.0,Car wash service,Transportation,expense,debit_card,0,0.0
2024-11-10,1.0,InDriver ride,Transportation,expense,debit_card,0,0.0
2024-08-29,1.0,Amazon package,Shopping,expense,debit_card,0,0.0
2023-11-03,405.02,University tuition payment,Education,expense,debit_card,0,0.0
2024-09-07,284.52,Corporate reimbursement,Income,income,credit_card,2,142.26
2024-08-05,6.54,InDriver ride,Transportation,expense,credit_card,6,1.09
2024-09-10,60.29,Concert ticket,Entertainment,expense,credit_card,3,20.1
2025-01-01,15.38,Walmart groceries,Shopping,expense,credit_card,24,0.64
2023-11-16,1.0,Tax refund,Income,income,debit_card,0,0.0
2023-09-02,383.79,University tuition payment,Education,expense,debit_card,0,0.0
2023-10-27,44.4,Local bakery breakfast,Food,expense,cash,0,0.0
2024-07-15,39.78,Duolingo Plus subscription,Education,expense,credit_card,12,3.31
2023-05-26,106.75,Target shopping,Shopping,expense,credit_card,1,106.75
2023-05-18,128.89,Xiaomi phone,Shopping,expense,credit_card,3,42.96
2023-03-09,3880.18,Upwork payment,Income,income,credit_card,24,161.67
2023-12-10,1.0,El Corral burger,Food,expense,debit_card,0,0.0
2023-03-19,1.0,Uber airport trip,Transportation,expense,credit_card,6,0.17
2024-09-08,4.88,Tostao coffee,Food,expense,debit_card,0,0.0
2023-07-21,1.0,H&M hoodie,Shopping,expense,credit_card,36,0.03
2023-04-29,1.0,Motorbike maintenance,Transportation,expense,debit_card,0,0.0
2024-07-11,1.0,Thesis printing,Education,expense,debit_card,0,0.0
2024-05-01,1.0,H&M hoodie,Shopping,expense,credit_card,9,0.11
2024-08-24,10.99,Uber airport trip,Transportation,expense,debit_card,0,0.0
2024-06-10,1.0,Monthly salary,Income,income,cash,0,0.0
2024-12-28,14.54,Disney Plus subscription,Entertainment,expense,credit_card,1,14.54
2024-02-09,1.0,HBO Max monthly,Entertainment,expense,debit_card,0,0.0
2024-11-01,38.16,Grocery store purchase,Food,expense,debit_card,0,0.0
2024-09-09,1.0,Fresh market fruits,Food,expense,debit_card,0,0.0
2023-02-03,246.57,Annual domain payment,Utilities,expense,credit_card,3,82.19
2023-06-24,1.0,Spotify Premium,Entertainment,expense,debit_card,0,0.0
2024-03-14,1.0,Upwork payment,Income,income,credit_card,6,0.17
2023-10-07,1.0,Arena event entry,Entertainment,expense,credit_card,3,0.33
2023-11-02,1948.57,Bonus payment,Income,income,credit_card,12,162.38
2024-05-25,157.01,Electricity bill,Utilities,expense,debit_card,0,0.0
2023-12-03,25.59,Office lunch,Food,expense,debit_card,0,0.0
2023-03-19,1.0,Payroll deposit,Income,income,credit_card,6,0.17
2023-03-29,3334.86,Payroll deposit,Income,income,credit_card,2,1667.43
2024-08-16,14.69,Xiaomi phone,Shopping,expense,credit_card,6,2.45
2023-04-09,26.4,Gas station refill,Transportation,expense,debit_card,0,0.0
2023-08-24,1.0,Xiaomi phone,Shopping,expense,debit_card,0,0.0
2023-02-13,117.62,Annual domain payment,Utilities,expense,credit_card,36,3.27
2024-07-04,213.6,Academic seminar,Education,expense,credit_card,12,17.8
2024-10-21,1.0,Corporate reimbursement,Income,income,debit_card,0,0.0
2023-12-27,35.72,Local bakery breakfast,Food,expense,credit_card,24,1.49
2024-09-03,1.0,Car wash service,Transportation,expense,credit_card,12,0.08
